キー,建物用途,室用途,年間換気時間
O-7,事務所等,更衣室又は倉庫,3133
O-10,事務所等,便所,3133
O-11,事務所等,喫煙室,3133
O-12,事務所等,厨房,2000
O-13,事務所等,屋内駐車場,3500
O-14,事務所等,機械室,8760
O-15,事務所等,電気室,8760
O-16,事務所等,湯沸室等,2000
O-17,事務所等,食品庫等,2000
O-18,事務所等,印刷室等,2000
O-19,事務所等,廃棄物保管場所等,2000
H-2,ホテル等,客室内の浴室等,5475
H-7,ホテル等,終日利用される共用部の便所,8760
H-8,ホテル等,終日利用される喫煙室,8760
H-17,ホテル等,更衣室又は倉庫,8760
H-22,ホテル等,日中のみ利用される共用部の便所,4745
H-23,ホテル等,日中のみ利用される喫煙室,4745
H-24,ホテル等,厨房,3200
H-25,ホテル等,屋内駐車場,8760
H-26,ホテル等,機械室,8760
H-27,ホテル等,電気室,8760
H-28,ホテル等,湯沸室等,3200
H-29,ホテル等,食品庫等,3200
H-30,ホテル等,印刷室等,3200
H-31,ホテル等,廃棄物保管場所等,3200
D-2,病院等,浴室等,8760
D-6,病院等,終日利用される共用部の便所,8760
D-7,病院等,終日利用される喫煙室,8760
D-16,病院等,更衣室又は倉庫,2920
D-19,病院等,日中のみ利用される共用部の便所,2920
D-20,病院等,日中のみ利用される喫煙室,2920
D-21,病院等,厨房,5500
D-22,病院等,屋内駐車場,8760
D-23,病院等,機械室,8760
D-24,病院等,電気室,8760
D-25,病院等,湯沸室等,5500
D-26,病院等,食品庫等,5500
D-27,病院等,印刷室等,5500
D-28,病院等,廃棄物保管場所等,5500
S-6,物品販売業を営む店舗等,更衣室又は倉庫,4745
S-8,物品販売業を営む店舗等,便所,4745
S-9,物品販売業を営む店舗等,喫煙室,4745
S-10,物品販売業を営む店舗等,厨房,3400
S-11,物品販売業を営む店舗等,屋内駐車場,5500
S-12,物品販売業を営む店舗等,機械室,8760
S-13,物品販売業を営む店舗等,電気室,8760
S-14,物品販売業を営む店舗等,湯沸室等,3400
S-15,物品販売業を営む店舗等,食品庫等,3400
S-16,物品販売業を営む店舗等,印刷室等,3400
S-17,物品販売業を営む店舗等,廃棄物保管場所等,3400
E-13,学校等,宿直室,5475
E-14,学校等,更衣室又は倉庫,2410
E-17,学校等,便所,2410
E-18,学校等,喫煙室,2410
E-19,学校等,厨房,1200
E-20,学校等,屋内駐車場,3000
E-21,学校等,機械室,8760
E-22,学校等,電気室,8760
E-23,学校等,湯沸室等,1200
E-24,学校等,食品庫等,1200
E-25,学校等,印刷室等,1200
E-26,学校等,廃棄物保管場所等,1200
R-7,飲食店等,更衣室又は倉庫,4745
R-10,飲食店等,便所,4745
R-11,飲食店等,喫煙室,4745
R-12,飲食店等,厨房,3400
R-13,飲食店等,屋内駐車場,5000
R-14,飲食店等,機械室,8760
R-15,飲食店等,電気室,8760
R-16,飲食店等,湯沸室等,3400
R-17,飲食店等,食品庫等,3400
R-18,飲食店等,印刷室等,3400
R-19,飲食店等,廃棄物保管場所等,3400
M-1,集会所等,アスレチック場の運動室,3991
M-3,集会所等,アスレチック場の便所,3991
M-4,集会所等,アスレチック場の喫煙室,3991
M-5,集会所等,公式競技用スケート場,4164
M-6,集会所等,公式競技用体育館,4164
M-7,集会所等,一般競技用スケート場,4164
M-8,集会所等,一般競技用体育館,4164
M-9,集会所等,レクリエーション用スケート場,4164
M-10,集会所等,レクリエーション用体育館,4164
M-13,集会所等,競技場の便所,4164
M-14,集会所等,競技場の喫煙室,4164
M-15,集会所等,公衆浴場の浴室,5110
M-16,集会所等,公衆浴場の脱衣所,5110
M-17,集会所等,公衆浴場の休憩室,5110
M-19,集会所等,公衆浴場の便所,5110
M-20,集会所等,公衆浴場の喫煙室,5110
M-23,集会所等,映画館の便所,5475
M-24,集会所等,映画館の喫煙室,5475
M-27,集会所等,図書館の便所,3070
M-28,集会所等,図書館の喫煙室,3070
M-31,集会所等,博物館の便所,2456
M-32,集会所等,博物館の喫煙室,2456
M-37,集会所等,劇場の便所,2259
M-38,集会所等,劇場の喫煙室,2259
M-39,集会所等,カラオケボックス,8760
M-41,集会所等,ボーリング場,5110
M-42,集会所等,ぱちんこ屋,4745
M-47,集会所等,競馬場又は競輪場の便所,3123
M-48,集会所等,競馬場又は競輪場の喫煙室,3123
M-51,集会所等,社寺の便所,2510
M-52,集会所等,社寺の喫煙室,2510
M-53,集会所等,厨房,4000
M-54,集会所等,屋内駐車場,4000
M-55,集会所等,機械室,8760
M-56,集会所等,電気室,8760
M-57,集会所等,湯沸室等,4000
M-58,集会所等,食品庫等,4000
M-59,集会所等,印刷室等,4000
M-60,集会所等,廃棄物保管場所等,4000
A-6,共同住宅,屋内駐車場,5110
A-7,共同住宅,機械室,8760
A-8,共同住宅,電気室,8760
A-9,共同住宅,廃棄物保管場所等,8760
