UsageKey,CalendarPattern
O-1,A
O-2,A
O-3,A
O-4,A
O-5,A
O-6,A
O-7,A
O-8,A
O-9,A
O-10,A
O-11,A
O-12,A
O-13,A
O-14,A
O-15,A
O-16,A
O-17,A
O-18,A
O-19,A
H-1,A
H-2,A
H-3,A
H-4,A
H-5,A
H-6,A
H-7,A
H-8,A
H-9,A
H-10,A
H-11,A
H-12,A
H-13,A
H-14,A
H-15,A
H-16,A
H-17,A
H-18,A
H-19,A
H-20,A
H-21,A
H-22,A
H-23,A
H-24,A
H-25,A
H-26,A
H-27,A
H-28,A
H-29,A
H-30,A
H-31,A
D-1,A
D-2,A
D-3,A
D-4,A
D-5,A
D-6,A
D-7,A
D-8,A
D-9,A
D-10,A
D-11,A
D-12,A
D-13,A
D-14,A
D-15,A
D-16,A
D-17,A
D-18,A
D-19,A
D-20,A
D-21,A
D-22,A
D-23,A
D-24,A
D-25,A
D-26,A
D-27,A
D-28,A
S-1,A
S-2,A
S-3,A
S-4,A
S-5,A
S-6,A
S-7,A
S-8,A
S-9,A
S-10,A
S-11,A
S-12,A
S-13,A
S-14,A
S-15,A
S-16,A
S-17,A
E-1,B
E-2,B
E-3,B
E-4,B
E-5,C
E-6,C
E-7,A
E-8,A
E-9,A
E-10,A
E-11,A
E-12,A
E-13,A
E-14,A
E-15,A
E-16,A
E-17,A
E-18,A
E-19,A
E-20,A
E-21,A
E-22,A
E-23,A
E-24,A
E-25,A
E-26,A
R-1,A
R-2,A
R-3,A
R-4,A
R-5,A
R-6,A
R-7,A
R-8,A
R-9,A
R-10,A
R-11,A
R-12,A
R-13,A
R-14,A
R-15,A
R-16,A
R-17,A
R-18,A
R-19,A
M-1,E
M-2,E
M-3,E
M-4,E
M-5,D
M-6,D
M-7,D
M-8,D
M-9,D
M-10,D
M-11,D
M-12,D
M-13,D
M-14,D
M-15,D
M-16,D
M-17,D
M-18,D
M-19,D
M-20,D
M-21,A
M-22,A
M-23,A
M-24,A
M-25,E
M-26,E
M-27,E
M-28,E
M-29,E
M-30,E
M-31,E
M-32,E
M-33,F
M-34,F
M-35,F
M-36,F
M-37,F
M-38,F
M-39,A
M-41,A
M-42,A
M-43,D
M-44,D
M-45,D
M-46,D
M-47,D
M-48,D
M-49,F
M-50,F
M-51,F
M-52,F
M-53,A
M-54,A
M-55,A
M-56,A
M-57,A
M-58,A
M-59,A
M-60,A
F-1,A
F-2,A
A-1,A
A-2,A
A-3,A
A-4,A
A-5,A
A-6,A
A-7,A
A-8,A
A-9,A
C-1,A
