UsageKey,Density,Standard,Unit,WashRoom,ShowerRoom,Kitchen,Other
O-1,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
O-2,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
O-3,0.25,3.8,L/人日,3.8,0.0,0.0,0.0
O-4,0.25,32.0,L/m2日,0.0,0.0,32.0,0.0
O-5,0.5,48.0,L/m2日,0.0,0.0,48.0,0.0
O-6,0.15,3.8,L/人日,3.8,0.0,0.0,0.0
O-7,0.3,62.0,L/人日,0.0,62.0,0.0,0.0
O-9,0.03,3.8,L/人日,3.8,0.0,0.0,0.0
H-1,0.07,165.0,L/人日,0.0,79.0,0.0,86.0
H-2,0.07,165.0,L/人日,0.0,79.0,0.0,86.0
H-4,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
H-6,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
H-9,0.7,3.8,L/人日,3.8,0.0,0.0,0.0
H-10,0.7,3.8,L/人日,3.8,0.0,0.0,0.0
H-11,0.3,3.8,L/人日,3.8,0.0,0.0,0.0
H-12,0.5,48.0,L/m2日,0.0,0.0,48.0,0.0
H-13,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
H-14,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
H-15,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
H-16,0.5,48.0,L/m2日,0.0,0.0,48.0,0.0
H-17,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
H-19,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
H-21,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
D-1,0.08,284.2,L/床日,0.0,21.0,0.0,263.2
D-2,0.08,284.2,L/床日,0.0,21.0,0.0,263.2
D-3,0.08,3.3,L/m2日,0.0,0.0,0.0,3.3
D-5,0.05,3.8,L/人日,3.8,0.0,0.0,0.0
D-8,0.2,3.3,L/m2日,0.0,0.0,0.0,3.3
D-9,0.2,3.3,L/m2日,0.0,0.0,0.0,3.3
D-10,0.1,6.3,L/m2日,0.0,0.0,0.0,6.3
D-11,0.1,6.3,L/m2日,0.0,0.0,0.0,6.3
D-12,0.1,6.3,L/m2日,0.0,0.0,0.0,6.3
D-13,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
D-14,0.1,48.0,L/m2日,0.0,0.0,48.0,0.0
D-15,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
D-16,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
D-18,0.05,3.8,L/人日,3.8,0.0,0.0,0.0
S-1,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
S-2,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
S-3,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
S-4,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
S-5,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
S-6,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
S-7,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
E-1,0.5,10.0,L/人日,3.8,0.0,6.2,0.0
E-2,0.5,3.8,L/人日,3.8,0.0,0.0,0.0
E-3,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
E-4,0.5,32.0,L/m2日,0.0,0.0,32.0,0.0
E-5,0.5,3.8,L/人日,3.8,0.0,0.0,0.0
E-6,0.5,48.0,L/m2日,0.0,0.0,48.0,0.0
E-7,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
E-8,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
E-9,0.5,3.8,L/人日,3.8,0.0,0.0,0.0
E-10,0.5,3.8,L/人日,3.8,0.0,0.0,0.0
E-11,0.5,3.8,L/人日,3.8,0.0,0.0,0.0
E-12,0.7,3.8,L/人日,3.8,0.0,0.0,0.0
E-13,0.07,165.0,L/人日,0.0,62.0,0.0,103.0
E-14,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
E-16,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
R-1,0.5,48.0,L/m2日,0.0,0.0,48.0,0.0
R-2,0.5,16.0,L/m2日,0.0,0.0,16.0,0.0
R-3,0.4,32.0,L/m2日,0.0,0.0,32.0,0.0
R-4,0.2,32.0,L/m2日,0.0,0.0,32.0,0.0
R-6,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
R-7,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
R-9,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
M-1,0.3,62.0,L/人日,0.0,62.0,0.0,0.0
M-2,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
M-5,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
M-6,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
M-7,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
M-8,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
M-9,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
M-10,0.1,62.0,L/人日,0.0,62.0,0.0,0.0
M-11,0.4,3.8,L/人日,3.8,0.0,0.0,0.0
M-12,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
M-15,0.2,300.0,L/人日,0.0,62.0,0.0,238.0
M-16,0.2,300.0,L/人日,0.0,62.0,0.0,238.0
M-17,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
M-18,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
M-21,1.0,3.8,L/人日,3.8,0.0,0.0,0.0
M-22,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
M-25,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
M-26,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
M-29,0.03,3.8,L/人日,3.8,0.0,0.0,0.0
M-30,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
M-33,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
M-34,1.0,3.8,L/人日,3.8,0.0,0.0,0.0
M-35,1.0,3.8,L/人日,3.8,0.0,0.0,0.0
M-36,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
M-39,0.4,3.8,L/人日,3.8,0.0,0.0,0.0
M-41,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
M-42,0.5,3.8,L/人日,3.8,0.0,0.0,0.0
M-43,0.4,3.8,L/人日,3.8,0.0,0.0,0.0
M-46,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
M-49,1.0,3.8,L/人日,3.8,0.0,0.0,0.0
M-50,0.2,3.8,L/人日,3.8,0.0,0.0,0.0
A-3,0.1,3.8,L/人日,3.8,0.0,0.0,0.0
A-4,0.25,1.5,L/m2日,0.0,0.0,1.5,0.0
