,UsageKey,VentilationTime
6,O-7,3133
9,O-10,3133
10,O-11,3133
11,O-12,2000
12,O-13,3500
13,O-14,8760
14,O-15,8760
15,O-16,2000
16,O-17,2000
17,O-18,2000
18,O-19,2000
20,H-2,5475
25,H-7,8760
26,H-8,8760
35,H-17,8760
40,H-22,4745
41,H-23,4745
42,H-24,3200
43,H-25,8760
44,H-26,8760
45,H-27,8760
46,H-28,3200
47,H-29,3200
48,H-30,3200
49,H-31,3200
51,D-2,8760
55,D-6,8760
56,D-7,8760
65,D-16,2920
68,D-19,2920
69,D-20,2920
70,D-21,5500
71,D-22,8760
72,D-23,8760
73,D-24,8760
74,D-25,5500
75,D-26,5500
76,D-27,5500
77,D-28,5500
83,S-6,4745
85,S-8,4745
86,S-9,4745
87,S-10,3400
88,S-11,5500
89,S-12,8760
90,S-13,8760
91,S-14,3400
92,S-15,3400
93,S-16,3400
94,S-17,3400
107,E-13,5475
108,E-14,2410
111,E-17,2410
112,E-18,2410
113,E-19,1200
114,E-20,3000
115,E-21,8760
116,E-22,8760
117,E-23,1200
118,E-24,1200
119,E-25,1200
120,E-26,1200
127,R-7,4745
130,R-10,4745
131,R-11,4745
132,R-12,3400
133,R-13,5000
134,R-14,8760
135,R-15,8760
136,R-16,3400
137,R-17,3400
138,R-18,3400
139,R-19,3400
140,M-1,3991
142,M-3,3991
143,M-4,3991
144,M-5,4164
145,M-6,4164
146,M-7,4164
147,M-8,4164
148,M-9,4164
149,M-10,4164
152,M-13,4164
153,M-14,4164
154,M-15,5110
155,M-16,5110
156,M-17,5110
158,M-19,5110
159,M-20,5110
162,M-23,5475
163,M-24,5475
166,M-27,3070
167,M-28,3070
170,M-31,2456
171,M-32,2456
176,M-37,2259
177,M-38,2259
178,M-39,8760
179,M-41,5110
180,M-42,4745
185,M-47,3123
186,M-48,3123
189,M-51,2510
190,M-52,2510
191,M-53,4000
192,M-54,4000
193,M-55,8760
194,M-56,8760
195,M-57,4000
196,M-58,4000
197,M-59,4000
198,M-60,4000
206,A-6,5110
207,A-7,8760
208,A-8,8760
209,A-9,8760
